AY_ID,EXAM_ID,SUB_ID,ADMNO,MARKS_OBTAINED
2022-2023,FINAL,CA,1906,91.5
2022-2023,FINAL,CA,1908,87
2022-2023,FINAL,CA,1909,95
2022-2023,FINAL,CA,1910,67
2022-2023,FINAL,CA,1911,78
2022-2023,FINAL,CA,1912,62
2022-2023,FINAL,CA,1913,92
2022-2023,FINAL,CA,1914,77
2022-2023,FINAL,CA,1915,63
2022-2023,FINAL,CA,1917,91
2022-2023,FINAL,CA,1918,79
2022-2023,FINAL,CA,1919,74
2022-2023,FINAL,CA,1920,73
2022-2023,FINAL,CA,1926,75.5
2022-2023,FINAL,CA,1927,96
2022-2023,FINAL,CA,1928,95
2022-2023,FINAL,CA,1930,62.5
2022-2023,FINAL,CA,1931,89
2022-2023,FINAL,CA,1932,63
2022-2023,FINAL,CA,1933,82
2022-2023,FINAL,CA,1934,96
2022-2023,FINAL,CA,1936,94
2022-2023,FINAL,CA,1938,93
2022-2023,FINAL,CA,1940,97
2022-2023,FINAL,CA,1941,72
2022-2023,FINAL,CA,1942,79
2022-2023,FINAL,CA,1943,94
2022-2023,FINAL,CA,1944,78
2022-2023,FINAL,CA,1945,95
2022-2023,FINAL,CA,1946,76
2022-2023,FINAL,CA,1947,87
2022-2023,FINAL,CA,1948,91
2022-2023,FINAL,CA,1949,82
2022-2023,FINAL,CA,1950,81
2022-2023,FINAL,CA,1951,93
2022-2023,FINAL,CA,1953,79
2022-2023,FINAL,CA,1955,91
2022-2023,FINAL,CA,1956,92
2022-2023,FINAL,CA,1957,80
2022-2023,FINAL,CA,1958,78
2022-2023,FINAL,CA,1959,96.5
2022-2023,FINAL,CA,1960,73
2022-2023,FINAL,CA,1962,63
2022-2023,FINAL,CA,1963,98
2022-2023,FINAL,CA,1964,62
2022-2023,FINAL,CA,1966,91
2022-2023,FINAL,CA,1967,70
2022-2023,FINAL,CA,1968,80
2022-2023,FINAL,CA,1972,74
2022-2023,FINAL,CA,1973,75
2022-2023,FINAL,CA,1974,73
2022-2023,FINAL,CA,1976,71
2022-2023,FINAL,CA,1977,90
2022-2023,FINAL,CA,1978,62
2022-2023,FINAL,CA,1981,50
2022-2023,FINAL,CA,1982,0
2022-2023,FINAL,CA,1983,72
2022-2023,FINAL,CA,1989,87
2022-2023,FINAL,CA,1992,86
2022-2023,FINAL,CA,1993,82.5
2022-2023,FINAL,CA,1994,82
2022-2023,FINAL,CA,1995,70
2022-2023,FINAL,CA,1997,86
2022-2023,FINAL,CA,1998,56
2022-2023,FINAL,CA,1999,62
2022-2023,FINAL,CA,2001,77
2022-2023,FINAL,CA,2002,85
2022-2023,FINAL,CA,2003,90
2022-2023,FINAL,CA,2004,97
2022-2023,FINAL,CA,2005,77.5
2022-2023,FINAL,CA,2007,82
2022-2023,FINAL,CA,2008,79
2022-2023,FINAL,CA,2009,92
2022-2023,FINAL,CA,2010,80
2022-2023,FINAL,CA,2012,82
2022-2023,FINAL,CA,2013,71
2022-2023,FINAL,CA,2014,91
2022-2023,FINAL,CA,2015,78
2022-2023,FINAL,CA,2017,60
2022-2023,FINAL,CA,2020,73
2022-2023,FINAL,CA,2021,86
2022-2023,FINAL,CA,2024,77
2022-2023,FINAL,CA,2026,32.5
2022-2023,FINAL,CA,2029,24
2022-2023,FINAL,CA,2054,27
2022-2023,FINAL,CA,2055,28
2022-2023,FINAL,CA,2090,50
2022-2023,FINAL,CA,2100,31
2022-2023,FINAL,CA,2101,28
2022-2023,FINAL,CA,2123,28
2022-2023,FINAL,CA,2202,12
2022-2023,FINAL,CA,2203,83
2022-2023,FINAL,CA,2212,25
2022-2023,FINAL,CA,2222,84
2022-2023,FINAL,CA,2225,89
2022-2023,FINAL,CA,2239,71
2022-2023,FINAL,CA,2245,44.5
2022-2023,FINAL,CA,2264,93
2022-2023,FINAL,CA,2269,50
2022-2023,FINAL,CA,2273,90
2022-2023,FINAL,CA,2284,88.5
2022-2023,FINAL,CA,2286,54
2022-2023,FINAL,CA,2287,82
2022-2023,FINAL,CA,2288,77
2022-2023,FINAL,CA,2289,73.5
2022-2023,FINAL,CA,2291,89
2022-2023,FINAL,CA,2292,90
2022-2023,FINAL,CA,2293,89
2022-2023,FINAL,CA,2294,72.5
2022-2023,FINAL,CA,2295,85
2022-2023,FINAL,CA,2296,83
2022-2023,FINAL,CA,2297,89
2022-2023,FINAL,CA,2298,88
2022-2023,FINAL,CA,2299,96.5
2022-2023,FINAL,CA,2300,88
2022-2023,FINAL,CA,2301,49
2022-2023,FINAL,CA,2302,79.5
2022-2023,FINAL,CA,2303,86
2022-2023,FINAL,CA,2304,98
2022-2023,FINAL,CA,2305,62
2022-2023,FINAL,CA,2306,93
2022-2023,FINAL,CA,2307,85.5
2022-2023,FINAL,CA,2308,92
2022-2023,FINAL,CA,2309,73
2022-2023,FINAL,CA,2310,66
2022-2023,FINAL,CA,2311,96.5
2022-2023,FINAL,CA,2313,99.5
2022-2023,FINAL,CA,2314,81.5
2022-2023,FINAL,CA,2315,80.5
2022-2023,FINAL,CA,2316,85
2022-2023,FINAL,CA,2317,80
2022-2023,FINAL,CA,2318,0
2022-2023,FINAL,CA,2319,75
2022-2023,FINAL,CA,2320,87
2022-2023,FINAL,CA,2321,93
2022-2023,FINAL,CA,2322,97
2022-2023,FINAL,CA,2323,90
2022-2023,FINAL,CA,2324,88
2022-2023,FINAL,CA,2325,85
2022-2023,FINAL,CA,2327,85.5
2022-2023,FINAL,CA,2328,98.5
2022-2023,FINAL,CA,2329,85
2022-2023,FINAL,CA,2330,89
2022-2023,FINAL,CA,2331,59
2022-2023,FINAL,CA,2332,86.5
2022-2023,FINAL,CA,2333,60
2022-2023,FINAL,CA,2334,77
2022-2023,FINAL,CA,2335,0
2022-2023,FINAL,CA,2336,88.5
2022-2023,FINAL,CA,2337,97
2022-2023,FINAL,CA,2338,80
2022-2023,FINAL,CA,2339,85.5
2022-2023,FINAL,CA,2340,81.5
2022-2023,FINAL,CA,2341,87
2022-2023,FINAL,CA,2342,94.5
2022-2023,FINAL,CA,2346,86
2022-2023,FINAL,CA,2347,91.5
2022-2023,FINAL,CA,2349,98
2022-2023,FINAL,CA,2350,85.5
2022-2023,FINAL,CA,2351,75
2022-2023,FINAL,CA,2352,91
2022-2023,FINAL,CA,2353,70.5
2022-2023,FINAL,CA,2354,91
2022-2023,FINAL,CA,2355,81
2022-2023,FINAL,CA,2357,76.5
2022-2023,FINAL,CA,2358,81
